feature_id,condition_rtn,bits_rtn,layer_rtn,corr_rtn,firing_rate_rtn,mean_activation_rtn,max_activation_rtn,active_rtn,survived_>0.9_rtn,damaged_<0.5_rtn,condition_prune,bits_prune,layer_prune,corr_prune,firing_rate_prune,mean_activation_prune,max_activation_prune,active_prune,survived_>0.9_prune,damaged_<0.5_prune,damage_rtn,damage_prune,rtn_survived,prune_survived,rtn_non_survived,prune_non_survived,rtn_damaged,prune_damaged,rtn_degraded,prune_degraded
0,RTN INT6,6,4,0.9359922108000072,0.0021985176282051,0.0005301675884626,2.0677947998046875,True,True,False,Magnitude pruning matched INT6,16,4,0.9073091463495642,0.0021985176282051,0.0005301675884626,2.0677947998046875,True,True,False,0.06400778919999284,0.09269085365043583,True,True,False,False,False,False,False,False
5,RTN INT6,6,4,0.95423694304774,0.0098006810897435,0.002829738259793,2.3167741298675537,True,True,False,Magnitude pruning matched INT6,16,4,0.9531049088411646,0.0098006810897435,0.002829738259793,2.3167741298675537,True,True,False,0.04576305695226002,0.04689509115883539,True,True,False,False,False,False,False,False
14,RTN INT6,6,4,0.7355586897271836,0.028740985576923,0.0048871502701121,1.6451501846313477,True,False,False,Magnitude pruning matched INT6,16,4,0.7617046152859551,0.028740985576923,0.0048871502701121,1.6451501846313477,True,False,False,0.26444131027281637,0.23829538471404488,False,False,True,True,False,False,True,True
32,RTN INT6,6,4,0.988992276305719,0.0017477964743589,0.0021481602357175,6.88852596282959,True,True,False,Magnitude pruning matched INT6,16,4,0.9899402058793442,0.0017477964743589,0.0021481602357175,6.88852596282959,True,True,False,0.011007723694281046,0.01005979412065583,True,True,False,False,False,False,False,False
35,RTN INT6,6,4,0.9115883129531775,0.0040314503205128,0.0009203109135015,4.05254602432251,True,True,False,Magnitude pruning matched INT6,16,4,0.8837657791027491,0.0040314503205128,0.0009203109135015,4.05254602432251,True,False,False,0.08841168704682245,0.11623422089725088,True,False,False,True,False,False,False,True
41,RTN INT6,6,4,0.8152239394199495,0.0109725560897435,0.0064599056999819,4.236804485321045,True,False,False,Magnitude pruning matched INT6,16,4,0.7924494874631529,0.0109725560897435,0.0064599056999819,4.236804485321045,True,False,False,0.18477606058005047,0.2075505125368471,False,False,True,True,False,False,True,True
55,RTN INT6,6,4,0.9917898044145496,0.0012770432692307,0.0006967820370426,8.126023292541504,True,True,False,Magnitude pruning matched INT6,16,4,0.9913296526254924,0.0012770432692307,0.0006967820370426,8.126023292541504,True,True,False,0.008210195585450442,0.008670347374507559,True,True,False,False,False,False,False,False
57,RTN INT6,6,4,0.8036317227095909,0.0035556891025641,0.000560076630716,0.9759560227394104,True,False,False,Magnitude pruning matched INT6,16,4,0.7673097012250331,0.0035556891025641,0.000560076630716,0.9759560227394104,True,False,False,0.19636827729040907,0.23269029877496694,False,False,True,True,False,False,True,True
61,RTN INT6,6,4,0.986715655730235,0.0035907451923076,0.0020889020718944,5.621836185455322,True,True,False,Magnitude pruning matched INT6,16,4,0.982932521706178,0.0035907451923076,0.0020889020718944,5.621836185455322,True,True,False,0.013284344269764992,0.017067478293822047,True,True,False,False,False,False,False,False
62,RTN INT6,6,4,0.7386333112145561,0.0491586538461538,0.0062965002984035,0.9576544761657716,True,False,False,Magnitude pruning matched INT6,16,4,0.6901321923639498,0.0491586538461538,0.0062965002984035,0.9576544761657716,True,False,False,0.2613666887854439,0.30986780763605015,False,False,True,True,False,False,True,True
64,RTN INT6,6,4,0.9850705143596749,0.0010416666666666,0.0003995395005823,7.3909807205200195,True,True,False,Magnitude pruning matched INT6,16,4,0.9784149402705604,0.0010416666666666,0.0003995395005823,7.3909807205200195,True,True,False,0.014929485640325146,0.021585059729439582,True,True,False,False,False,False,False,False
66,RTN INT6,6,4,0.9959566008547284,0.0012720352564102,0.0012868382239666,9.763187408447266,True,True,False,Magnitude pruning matched INT6,16,4,0.996791007493826,0.0012720352564102,0.0012868382239666,9.763187408447266,True,True,False,0.004043399145271631,0.003208992506174013,True,True,False,False,False,False,False,False
69,RTN INT6,6,4,0.9377896345862694,0.0034855769230769,0.001068982956722,7.007657527923584,True,True,False,Magnitude pruning matched INT6,16,4,0.9253356157428984,0.0034855769230769,0.001068982956722,7.007657527923584,True,True,False,0.062210365413730595,0.07466438425710165,True,True,False,False,False,False,False,False
73,RTN INT6,6,4,0.8924724917445636,0.0030799278846153,0.0007639321647823,2.033596992492676,True,False,False,Magnitude pruning matched INT6,16,4,0.8695243901106551,0.0030799278846153,0.0007639321647823,2.033596992492676,True,False,False,0.10752750825543644,0.13047560988934492,False,False,True,True,False,False,True,True
83,RTN INT6,6,4,0.7510870222684529,0.0125350560897435,0.0038133022008248,2.186432361602783,True,False,False,Magnitude pruning matched INT6,16,4,0.8389782768511944,0.0125350560897435,0.0038133022008248,2.186432361602783,True,False,False,0.24891297773154708,0.16102172314880558,False,False,True,True,False,False,True,True
102,RTN INT6,6,4,0.9727267859464954,0.0065655048076923,0.0025363905286679,3.442584991455078,True,True,False,Magnitude pruning matched INT6,16,4,0.953486241885788,0.0065655048076923,0.0025363905286679,3.442584991455078,True,True,False,0.02727321405350458,0.04651375811421199,True,True,False,False,False,False,False,False
120,RTN INT6,6,4,0.9604076542591152,0.0112530048076923,0.0040800724936744,3.181884288787842,True,True,False,Magnitude pruning matched INT6,16,4,0.9570563084040368,0.0112530048076923,0.0040800724936744,3.181884288787842,True,True,False,0.03959234574088477,0.04294369159596323,True,True,False,False,False,False,False,False
123,RTN INT6,6,4,0.91073020262986,0.0036909054487179,0.001471548857621,2.603508710861206,True,True,False,Magnitude pruning matched INT6,16,4,0.907631286999834,0.0036909054487179,0.001471548857621,2.603508710861206,True,True,False,0.08926979737013996,0.09236871300016603,True,True,False,False,False,False,False,False
126,RTN INT6,6,4,0.9846492793487912,0.0074268830128205,0.0042751876117948,5.685667514801025,True,True,False,Magnitude pruning matched INT6,16,4,0.9810814237707556,0.0074268830128205,0.0042751876117948,5.685667514801025,True,True,False,0.015350720651208793,0.01891857622924442,True,True,False,False,False,False,False,False
133,RTN INT6,6,4,0.9838109791338452,0.0016726762820512,0.0018345397112007,6.72288990020752,True,True,False,Magnitude pruning matched INT6,16,4,0.9841300932876448,0.0016726762820512,0.0018345397112007,6.72288990020752,True,True,False,0.016189020866154813,0.01586990671235522,True,True,False,False,False,False,False,False
140,RTN INT6,6,4,0.8438270668710707,0.0013120993589743,0.0003295253842878,1.119604229927063,True,False,False,Magnitude pruning matched INT6,16,4,0.7494258333794972,0.0013120993589743,0.0003295253842878,1.119604229927063,True,False,False,0.15617293312892933,0.2505741666205028,False,False,True,True,False,False,True,True
141,RTN INT6,6,4,0.8461548141676968,0.0022586137820512,0.0003456109267575,1.1015114784240725,True,False,False,Magnitude pruning matched INT6,16,4,0.8356483555682828,0.0022586137820512,0.0003456109267575,1.1015114784240725,True,False,False,0.15384518583230322,0.16435164443171724,False,False,True,True,False,False,True,True
143,RTN INT6,6,4,0.6174526121250143,0.0274389022435897,0.0036850736186935,1.6965508460998535,True,False,False,Magnitude pruning matched INT6,16,4,0.6988060255483587,0.0274389022435897,0.0036850736186935,1.6965508460998535,True,False,False,0.38254738787498566,0.3011939744516413,False,False,True,True,False,False,True,True
