model,layer,compression,bits,sparsity,n_tokens,n_active_features,perplexity,ppl_delta_pct,mean_corr,median_corr,survived_>0.9_pct,degraded_0.5_0.9_pct,damaged_<0.5_pct
Pythia-70M,4,FP16 baseline,16,,199680,5688,67.84,0.0,1.0,1.0,100.0,0.0,0.0
Pythia-70M,4,RTN INT8,8,,199680,5688,68.532,1.02,0.981,0.992,98.312,1.688,0.0
Pythia-70M,4,RTN INT7,7,,199680,5688,69.372,2.258,0.957,0.98,86.322,13.678,0.0
Pythia-70M,4,RTN INT6,6,,199680,5688,77.828,14.722,0.888,0.94,62.395,36.586,1.02
Pythia-70M,4,RTN INT5,5,,199680,5688,116.148,71.208,0.777,0.85,37.957,49.455,12.588
Pythia-70M,4,RTN INT4,4,,199680,5688,319.602,371.112,0.583,0.636,14.504,47.785,37.711
Pythia-70M,4,Magnitude pruning matched INT6,16,0.175,199680,5688,76.99,13.488,0.891,0.933,60.97,38.731,0.299
Gemma-2-2B,12,FP16 baseline,16,,499968,7144,458.535,0.0,1.0,1.0,100.0,0.0,0.0
Gemma-2-2B,12,RTN INT8,8,,499968,7144,470.565,2.624,0.966,0.971,99.09,0.91,0.0
Gemma-2-2B,12,RTN INT7,7,,499968,7144,432.636,-5.648,0.943,0.95,81.257,18.743,0.0
Gemma-2-2B,12,RTN INT6,6,,499968,7144,476.824,3.989,0.891,0.903,51.302,48.698,0.0
Gemma-2-2B,12,RTN INT5,5,,499968,7144,539.768,17.716,0.764,0.778,27.716,66.363,5.921
Gemma-2-2B,12,RTN INT4,4,,499968,7144,669.833,46.081,0.494,0.451,12.402,32.895,54.703
Gemma-2-2B,12,Magnitude pruning matched INT6,,0.162,499968,7144,486.626,6.126,0.841,0.855,38.578,61.184,0.238
